,Lin,Sin,doy
2010-09-22 22:00:00,282.0564888412733,0.0,265
2010-09-23 00:00:00,286.4472121952216,0.0,266
2010-09-23 02:00:00,280.56458098889453,0.0,266
2010-09-23 04:00:00,274.6819497825675,0.0,266
2010-09-23 06:00:00,268.79931857624047,0.0,266
2010-09-23 08:00:00,262.9166873699134,0.0,266
2010-09-23 10:00:00,257.03405616358634,0.0,266
2010-09-23 12:00:00,251.15142495725928,0.0,266
2010-09-23 14:00:00,260.0529230886668,0.0,266
2010-09-23 16:00:00,268.9544212200743,0.0,266
2010-09-23 18:00:00,277.8559193514818,0.0,266
2010-09-23 20:00:00,286.7574174828893,0.0,266
2010-09-23 22:00:00,295.65891561429686,0.0,266
2010-09-24 00:00:00,304.56041374570435,0.0,267
2010-09-24 02:00:00,315.1594486689031,0.0,267
2010-09-24 04:00:00,325.75848359210187,0.0,267
2010-09-24 06:00:00,336.3575185153006,0.0,267
2010-09-24 08:00:00,346.95655343849944,29.884560635003165,267
2010-09-24 10:00:00,357.5555883616982,59.76912127000633,267
2010-09-24 12:00:00,368.15462328489696,89.65368190500949,267
2010-09-24 14:00:00,344.3356842519235,59.76912127000632,267
2010-09-24 16:00:00,320.5167452189501,29.88456063500316,267
2010-09-24 18:00:00,296.6978061859767,0.0,267
2010-09-24 20:00:00,272.8788671530032,0.0,267
2010-09-24 22:00:00,249.0599281200298,0.0,267
2010-09-25 00:00:00,225.2409890870564,0.0,268
2010-09-25 02:00:00,245.9673223498625,0.0,268
2010-09-25 04:00:00,266.69365561266864,0.0,268
2010-09-25 06:00:00,287.41998887547476,0.0,268
2010-09-25 08:00:00,308.1463221382809,33.651598733568946,268
2010-09-25 10:00:00,328.872655401087,67.30319746713789,268
2010-09-25 12:00:00,349.5989886638931,100.95479620070684,268
2010-09-25 14:00:00,330.0021748953746,67.30319746713789,268
2010-09-25 16:00:00,310.4053611268561,33.651598733568946,268
2010-09-25 18:00:00,290.8085473583376,0.0,268
2010-09-25 20:00:00,271.21173358981906,0.0,268
2010-09-25 22:00:00,251.61491982130056,0.0,268
2010-09-26 00:00:00,232.01810605278206,0.0,269
2010-09-26 02:00:00,238.42361346652248,0.0,269
2010-09-26 04:00:00,244.82912088026288,0.0,269
2010-09-26 06:00:00,251.2346282940033,0.0,269
2010-09-26 08:00:00,257.6401357077437,26.515133272398586,269
2010-09-26 10:00:00,264.04564312148415,53.03026654479717,269
2010-09-26 12:00:00,270.45115053522454,79.54539981719576,269
2010-09-26 14:00:00,270.8441342424625,53.03026654479717,269
2010-09-26 16:00:00,271.23711794970035,26.515133272398586,269
2010-09-26 18:00:00,271.6301016569382,0.0,269
2010-09-26 20:00:00,272.02308536417615,0.0,269
2010-09-26 22:00:00,272.4160690714141,0.0,269
2010-09-27 00:00:00,272.80905277865196,0.0,270
2010-09-27 02:00:00,274.61131871519024,0.0,270
2010-09-27 04:00:00,276.4135846517285,0.0,270
2010-09-27 06:00:00,278.2158505882668,0.0,270
2010-09-27 08:00:00,280.018116524805,10.085985581663387,270
2010-09-27 10:00:00,281.8203824613433,20.171971163326774,270
2010-09-27 12:00:00,283.62264839788156,30.25795674499016,270
2010-09-27 14:00:00,281.6888063949235,20.171971163326774,270
2010-09-27 16:00:00,279.7549643919654,10.085985581663387,270
2010-09-27 18:00:00,277.8211223890073,0.0,270
2010-09-27 20:00:00,275.88728038604927,0.0,270
2010-09-27 22:00:00,273.9534383830912,0.0,270
2010-09-28 00:00:00,272.0195963801331,0.0,271
2010-09-28 02:00:00,273.304564308057,0.0,271
2010-09-28 04:00:00,274.5895322359809,0.0,271
2010-09-28 06:00:00,275.8745001639048,0.0,271
2010-09-28 08:00:00,277.1594680918287,11.731714290685156,271
2010-09-28 10:00:00,278.44443601975263,23.463428581370312,271
2010-09-28 12:00:00,279.72940394767653,35.19514287205547,271
2010-09-28 14:00:00,272.67273518951424,23.463428581370316,271
2010-09-28 16:00:00,265.61606643135195,11.731714290685158,271
2010-09-28 18:00:00,258.55939767318966,0.0,271
2010-09-28 20:00:00,251.5027289150274,0.0,271
2010-09-28 22:00:00,244.44606015686514,0.0,271
2010-09-29 00:00:00,237.38939139870286,0.0,272
2010-09-29 02:00:00,248.05488513508445,0.0,272
2010-09-29 04:00:00,258.72037887146604,0.0,272
2010-09-29 06:00:00,269.3858726078476,0.0,272
2010-09-29 08:00:00,280.05136634422917,32.44998903382601,272
2010-09-29 10:00:00,290.7168600806108,64.89997806765201,272
2010-09-29 12:00:00,301.38235381699235,97.34996710147801,272
2010-09-29 14:00:00,297.97511431167186,64.899978067652,272
2010-09-29 16:00:00,294.5678748063513,32.449989033826,272
2010-09-29 18:00:00,291.1606353010308,0.0,272
2010-09-29 20:00:00,287.75339579571033,0.0,272
2010-09-29 22:00:00,284.3461562903898,0.0,272
2010-09-30 00:00:00,280.9389167850693,0.0,273
2010-09-30 02:00:00,284.8642647070956,0.0,273
2010-09-30 04:00:00,288.7896126291219,0.0,273
2010-09-30 06:00:00,292.7149605511482,0.0,273
2010-09-30 08:00:00,296.64030847317446,16.182204291388626,273
2010-09-30 10:00:00,300.5656563952008,32.36440858277725,273
2010-09-30 12:00:00,304.49100431722707,48.546612874165874,273
2010-09-30 14:00:00,296.5612412954633,32.364408582777244,273
2010-09-30 16:00:00,288.6314782736995,16.182204291388622,273
2010-09-30 18:00:00,280.70171525193564,0.0,273
2010-09-30 20:00:00,272.77195223017185,0.0,273
2010-09-30 22:00:00,264.84218920840806,0.0,273
2010-10-01 00:00:00,256.91242618664427,0.0,274
2010-10-01 02:00:00,280.7960676993803,0.0,274
2010-10-01 04:00:00,304.6797092121163,0.0,274
2010-10-01 06:00:00,328.5633507248523,0.0,274
2010-10-01 08:00:00,352.44699223758823,33.17022026909722,274
2010-10-01 10:00:00,376.33063375032424,66.34044053819444,274
2010-10-01 12:00:00,400.21427526306024,99.51066080729167,274
2010-10-01 14:00:00,378.0977091908009,66.34044053819446,274
2010-10-01 16:00:00,355.98114311854164,33.17022026909723,274
2010-10-01 18:00:00,333.8645770462823,0.0,274
2010-10-01 20:00:00,311.748010974023,0.0,274
2010-10-01 22:00:00,289.63144490176364,0.0,274
2010-10-02 00:00:00,267.51487882950437,0.0,275
2010-10-02 02:00:00,267.27000497740823,0.0,275
2010-10-02 04:00:00,267.0251311253121,0.0,275
2010-10-02 06:00:00,266.78025727321597,0.0,275
2010-10-02 08:00:00,266.53538342111983,0.0,275
2010-10-02 10:00:00,266.2905095690237,0.0,275
2010-10-02 12:00:00,266.04563571692756,0.0,275
2010-10-02 14:00:00,261.4774934153922,0.0,275
2010-10-02 16:00:00,256.9093511138568,0.0,275
2010-10-02 18:00:00,252.34120881232138,0.0,275
2010-10-02 20:00:00,247.773066510786,0.0,275
2010-10-02 22:00:00,243.20492420925063,0.0,275
2010-10-03 00:00:00,238.63678190771523,0.0,276
2010-10-03 02:00:00,258.3987267705027,0.0,276
2010-10-03 04:00:00,278.16067163329024,0.0,276
2010-10-03 06:00:00,297.9226164960777,0.0,276
2010-10-03 08:00:00,317.6845613588652,32.12675161210317,276
2010-10-03 10:00:00,337.44650622165267,64.25350322420634,276
2010-10-03 12:00:00,357.2084510844402,96.38025483630952,276
2010-10-03 14:00:00,338.2054679273553,64.25350322420636,276
2010-10-03 16:00:00,319.2024847702705,32.12675161210318,276
2010-10-03 18:00:00,300.1995016131856,0.0,276
2010-10-03 20:00:00,281.19651845610076,0.0,276
2010-10-03 22:00:00,262.1935352990159,0.0,276
2010-10-04 00:00:00,243.19055214193102,0.0,277
2010-10-04 02:00:00,255.78623044869903,0.0,277
2010-10-04 04:00:00,268.38190875546707,0.0,277
2010-10-04 06:00:00,280.9775870622351,0.0,277
2010-10-04 08:00:00,293.57326536900314,31.60501728360615,277
2010-10-04 10:00:00,306.1689436757711,63.2100345672123,277
2010-10-04 12:00:00,318.76462198253915,94.81505185081845,277
2010-10-04 14:00:00,306.1860138178041,63.210034567212304,277
2010-10-04 16:00:00,293.6074056530691,31.605017283606152,277
2010-10-04 18:00:00,281.0287974883341,0.0,277
2010-10-04 20:00:00,268.45018932359903,0.0,277
2010-10-04 22:00:00,255.87158115886405,0.0,277
2010-10-05 00:00:00,243.292972994129,0.0,278
2010-10-05 02:00:00,259.74933734172305,0.0,278
2010-10-05 04:00:00,276.20570168931715,0.0,278
2010-10-05 06:00:00,292.66206603691126,0.0,278
2010-10-05 08:00:00,309.1184303845053,31.08328295510913,278
2010-10-05 10:00:00,325.57479473209935,62.16656591021826,278
2010-10-05 12:00:00,342.03115907969345,93.2498488653274,278
2010-10-05 14:00:00,324.75724441049147,62.16656591021827,278
2010-10-05 16:00:00,307.4833297412894,31.083282955109134,278
2010-10-05 18:00:00,290.2094150720874,0.0,278
2010-10-05 20:00:00,272.9355004028854,0.0,278
2010-10-05 22:00:00,255.66158573368338,0.0,278
2010-10-06 00:00:00,238.38767106448137,0.0,279
2010-10-06 02:00:00,256.7860797701485,0.0,279
2010-10-06 04:00:00,275.1844884758156,0.0,279
2010-10-06 06:00:00,293.58289718148274,0.0,279
2010-10-06 08:00:00,311.9813058871498,30.561548626612105,279
2010-10-06 10:00:00,330.3797145928169,61.12309725322421,279
2010-10-06 12:00:00,348.77812329848405,91.68464587983631,279
2010-10-06 14:00:00,332.63320424143245,61.1230972532242,279
2010-10-06 16:00:00,316.48828518438086,30.5615486266121,279
2010-10-06 18:00:00,300.3433661273293,0.0,279
2010-10-06 20:00:00,284.1984470702777,0.0,279
2010-10-06 22:00:00,268.0535280132261,0.0,279
2010-10-07 00:00:00,251.90860895617453,0.0,280
2010-10-07 02:00:00,261.3913145024653,0.0,280
2010-10-07 04:00:00,270.8740200487561,0.0,280
2010-10-07 06:00:00,280.3567255950469,0.0,280
2010-10-07 08:00:00,289.83943114133774,26.501187026911357,280
2010-10-07 10:00:00,299.32213668762853,53.00237405382271,280
2010-10-07 12:00:00,308.8048422339193,79.50356108073407,280
2010-10-07 14:00:00,302.3515670358779,53.00237405382272,280
2010-10-07 16:00:00,295.89829183783644,26.50118702691136,280
2010-10-07 18:00:00,289.44501663979497,0.0,280
2010-10-07 20:00:00,282.99174144175356,0.0,280
2010-10-07 22:00:00,276.53846624371215,0.0,280
2010-10-08 00:00:00,270.0851910456707,0.0,281
2010-10-08 02:00:00,279.5957951132481,0.0,281
2010-10-08 04:00:00,289.10639918082546,0.0,281
2010-10-08 06:00:00,298.61700324840285,0.0,281
2010-10-08 08:00:00,308.12760731598024,24.761234097488824,281
2010-10-08 10:00:00,317.63821138355763,49.52246819497765,281
2010-10-08 12:00:00,327.148815451135,74.28370229246647,281
2010-10-08 14:00:00,314.8780323983958,49.52246819497765,281
2010-10-08 16:00:00,302.60724934565667,24.761234097488824,281
2010-10-08 18:00:00,290.33646629291746,0.0,281
2010-10-08 20:00:00,278.06568324017826,0.0,281
2010-10-08 22:00:00,265.7949001874391,0.0,281
2010-10-09 00:00:00,253.5241171346999,0.0,282
2010-10-09 02:00:00,271.0582396723097,0.0,282
2010-10-09 04:00:00,288.59236220991954,0.0,282
2010-10-09 06:00:00,306.12648474752933,0.0,282
2010-10-09 08:00:00,323.6606072851391,29.20612056671627,282
2010-10-09 10:00:00,341.19472982274897,58.41224113343254,282
2010-10-09 12:00:00,358.72885236035876,87.61836170014881,282
2010-10-09 14:00:00,337.61462382864227,58.412241133432545,282
2010-10-09 16:00:00,316.5003952969258,29.206120566716272,282
2010-10-09 18:00:00,295.3861667652093,0.0,282
2010-10-09 20:00:00,274.2719382334928,0.0,282
2010-10-09 22:00:00,253.1577097017763,0.0,282
2010-10-10 00:00:00,232.04348117005978,0.0,283
2010-10-10 02:00:00,248.19918346511622,0.0,283
2010-10-10 04:00:00,264.35488576017264,0.0,283
2010-10-10 06:00:00,280.51058805522905,0.0,283
2010-10-10 08:00:00,296.6662903502855,28.894161163814484,283
2010-10-10 10:00:00,312.82199264534194,57.78832232762897,283
2010-10-10 12:00:00,328.97769494039835,86.68248349144345,283
2010-10-10 14:00:00,319.1115596051143,57.78832232762896,283
2010-10-10 16:00:00,309.2454242698302,28.89416116381448,283
2010-10-10 18:00:00,299.37928893454614,0.0,283
2010-10-10 20:00:00,289.51315359926207,0.0,283
2010-10-10 22:00:00,279.647018263978,0.0,283
2010-10-11 00:00:00,269.7808829286939,0.0,284
2010-10-11 02:00:00,264.8919532351955,0.0,284
2010-10-11 04:00:00,260.0030235416971,0.0,284
2010-10-11 06:00:00,255.11409384819865,0.0,284
2010-10-11 08:00:00,250.22516415470022,0.0,284
2010-10-11 10:00:00,245.3362344612018,0.0,284
2010-10-11 12:00:00,240.44730476770337,0.0,284
2010-10-11 14:00:00,242.77949595576032,0.0,284
2010-10-11 16:00:00,245.11168714381728,0.0,284
2010-10-11 18:00:00,247.44387833187423,0.0,284
2010-10-11 20:00:00,249.77606951993118,0.0,284
2010-10-11 22:00:00,252.10826070798814,0.0,284
2010-10-12 00:00:00,254.4404518960451,0.0,285
2010-10-12 02:00:00,255.19128781070938,0.0,285
2010-10-12 04:00:00,255.9421237253737,0.0,285
2010-10-12 06:00:00,256.692959640038,0.0,285
2010-10-12 08:00:00,257.4437955547023,9.235371078165985,285
2010-10-12 10:00:00,258.1946314693666,18.47074215633197,285
2010-10-12 12:00:00,258.9454673840309,27.706113234497952,285
2010-10-12 14:00:00,258.5160735252778,18.470742156331966,285
2010-10-12 16:00:00,258.08667966652473,9.235371078165983,285
2010-10-12 18:00:00,257.6572858077717,0.0,285
2010-10-12 20:00:00,257.2278919490186,0.0,285
2010-10-12 22:00:00,256.7984980902655,0.0,285
2010-10-13 00:00:00,256.36910423151244,0.0,286
2010-10-13 02:00:00,254.1366821938698,0.0,286
2010-10-13 04:00:00,251.90426015622717,0.0,286
2010-10-13 06:00:00,249.67183811858456,0.0,286
2010-10-13 08:00:00,247.43941608094192,0.0,286
2010-10-13 10:00:00,245.2069940432993,0.0,286
2010-10-13 12:00:00,242.97457200565665,0.0,286
2010-10-13 14:00:00,244.90417053126288,0.0,286
2010-10-13 16:00:00,246.83376905686907,0.0,286
2010-10-13 18:00:00,248.7633675824753,0.0,286
2010-10-13 20:00:00,250.69296610808152,0.0,286
2010-10-13 22:00:00,252.62256463368772,0.0,286
2010-10-14 00:00:00,254.55216315929394,0.0,287
2010-10-14 02:00:00,271.5278958419115,0.0,287
2010-10-14 04:00:00,288.5036285245291,0.0,287
2010-10-14 06:00:00,305.47936120714667,0.0,287
2010-10-14 08:00:00,322.45509388976427,27.64632355220734,287
2010-10-14 10:00:00,339.4308265723818,55.29264710441468,287
2010-10-14 12:00:00,356.4065592549994,82.93897065662202,287
2010-10-14 14:00:00,340.93154679637877,55.292647104414684,287
2010-10-14 16:00:00,325.45653433775806,27.646323552207342,287
2010-10-14 18:00:00,309.9815218791374,0.0,287
2010-10-14 20:00:00,294.50650942051675,0.0,287
2010-10-14 22:00:00,279.03149696189604,0.0,287
2010-10-15 00:00:00,263.5564845032754,0.0,288
2010-10-15 02:00:00,262.1665284855935,0.0,288
2010-10-15 04:00:00,260.7765724679116,0.0,288
2010-10-15 06:00:00,259.3866164502297,0.0,288
2010-10-15 08:00:00,257.99666043254786,0.0,288
2010-10-15 10:00:00,256.606704414866,0.0,288
2010-10-15 12:00:00,255.2167483971841,0.0,288
2010-10-15 14:00:00,255.6926973023822,0.0,288
2010-10-15 16:00:00,256.16864620758025,0.0,288
2010-10-15 18:00:00,256.64459511277835,0.0,288
2010-10-15 20:00:00,257.12054401797644,0.0,288
2010-10-15 22:00:00,257.59649292317454,0.0,288
2010-10-16 00:00:00,258.07244182837263,0.0,289
2010-10-16 02:00:00,255.68278698457684,0.0,289
2010-10-16 04:00:00,253.293132140781,0.0,289
2010-10-16 06:00:00,250.90347729698522,0.0,289
2010-10-16 08:00:00,248.51382245318942,0.0,289
2010-10-16 10:00:00,246.1241676093936,0.0,289
2010-10-16 12:00:00,243.7345127655978,0.0,289
2010-10-16 14:00:00,244.20350430987213,0.0,289
2010-10-16 16:00:00,244.67249585414643,0.0,289
2010-10-16 18:00:00,245.14148739842076,0.0,289
2010-10-16 20:00:00,245.6104789426951,0.0,289
2010-10-16 22:00:00,246.0794704869694,0.0,289
2010-10-17 00:00:00,246.54846203124373,0.0,290
2010-10-17 02:00:00,254.99130057265089,0.0,290
2010-10-17 04:00:00,263.43413911405804,0.0,290
2010-10-17 06:00:00,271.8769776554652,0.0,290
2010-10-17 08:00:00,280.3198161968724,23.20988608853138,290
2010-10-17 10:00:00,288.76265473827954,46.41977217706276,290
2010-10-17 12:00:00,297.2054932796867,69.62965826559414,290
2010-10-17 14:00:00,296.0639053324313,46.41977217706277,290
2010-10-17 16:00:00,294.92231738517586,23.209886088531384,290
2010-10-17 18:00:00,293.7807294379204,0.0,290
2010-10-17 20:00:00,292.639141490665,0.0,290
2010-10-17 22:00:00,291.4975535434096,0.0,290
2010-10-18 00:00:00,290.35596559615414,0.0,291
2010-10-18 02:00:00,284.9183859202211,0.0,291
2010-10-18 04:00:00,279.48080624428815,0.0,291
2010-10-18 06:00:00,274.0432265683551,0.0,291
2010-10-18 08:00:00,268.6056468924221,0.0,291
2010-10-18 10:00:00,263.16806721648913,0.0,291
2010-10-18 12:00:00,257.7304875405561,0.0,291
2010-10-18 14:00:00,256.3962843628211,0.0,291
2010-10-18 16:00:00,255.06208118508616,0.0,291
2010-10-18 18:00:00,253.7278780073512,0.0,291
2010-10-18 20:00:00,252.3936748296162,0.0,291
2010-10-18 22:00:00,251.0594716518812,0.0,291
2010-10-19 00:00:00,249.72526847414625,0.0,292
2010-10-19 02:00:00,254.78544264100108,0.0,292
2010-10-19 04:00:00,259.8456168078559,0.0,292
2010-10-19 06:00:00,264.9057909747107,0.0,292
2010-10-19 08:00:00,269.96596514156556,17.99115343557371,292
2010-10-19 10:00:00,275.0261393084204,35.98230687114742,292
2010-10-19 12:00:00,280.08631347527523,53.97346030672113,292
2010-10-19 14:00:00,283.3700338150178,35.982306871147415,292
2010-10-19 16:00:00,286.65375415476035,17.991153435573707,292
2010-10-19 18:00:00,289.9374744945029,0.0,292
2010-10-19 20:00:00,293.2211948342454,0.0,292
2010-10-19 22:00:00,296.50491517398797,0.0,292
2010-10-20 00:00:00,299.7886355137305,0.0,293
2010-10-20 02:00:00,289.0286800323275,0.0,293
2010-10-20 04:00:00,278.2687245509245,0.0,293
2010-10-20 06:00:00,267.50876906952146,0.0,293
2010-10-20 08:00:00,256.7488135881184,0.0,293
2010-10-20 10:00:00,245.98885810671538,0.0,293
2010-10-20 12:00:00,235.22890262531237,0.0,293
2010-10-20 14:00:00,233.89503625097348,0.0,293
2010-10-20 16:00:00,232.56116987663455,0.0,293
2010-10-20 18:00:00,231.22730350229563,0.0,293
2010-10-20 20:00:00,229.89343712795673,0.0,293
2010-10-20 22:00:00,228.55957075361783,0.0,293
2010-10-21 00:00:00,227.2257043792789,0.0,294
2010-10-21 02:00:00,231.50422076808252,0.0,294
2010-10-21 04:00:00,235.78273715688613,0.0,294
2010-10-21 06:00:00,240.06125354568974,0.0,294
2010-10-21 08:00:00,244.33976993449335,14.895670063173716,294
2010-10-21 10:00:00,248.61828632329696,29.791340126347432,294
2010-10-21 12:00:00,252.89680271210057,44.687010189521146,294
2010-10-21 14:00:00,249.50816800488965,29.79134012634743,294
2010-10-21 16:00:00,246.11953329767874,14.895670063173714,294
2010-10-21 18:00:00,242.73089859046786,0.0,294
2010-10-21 20:00:00,239.34226388325695,0.0,294
2010-10-21 22:00:00,235.95362917604604,0.0,294
2010-10-22 00:00:00,232.56499446883512,0.0,295
2010-10-22 02:00:00,234.85049097024782,0.0,295
2010-10-22 04:00:00,237.1359874716605,0.0,295
2010-10-22 06:00:00,239.42148397307318,0.0,295
