,ET,ETR,ETS,discharge,leakage,overlandFlow,ppt,storageGZ,storageVZ
1984-11-28,0.09219193502627986,0.07965383186270579,0.012538103163574062,1.375006074694931,6.134807729280352,0.0,6.22699966430664,12.414466983495823,32.879
1984-11-29,0.10211930102693632,0.08823107608727297,0.01388822493966334,1.7616493137732296,0.9968806760848646,0.0,1.0989999771118164,17.17426863808124,32.879
1984-11-30,0.08936091963674123,0.07720783456614443,0.01215308507059681,1.3214357848685372,0.5156390994367409,0.0,0.6050000190734862,16.409500000392875,32.879
1984-12-01,0.10713490327795802,0.09256455643215572,0.014570346845802289,0.992952399660579,0.10386511007346853,0.0,0.2110000133514403,15.60370331496108,32.879
1984-12-02,0.10290329602423734,0.08892164180005965,0.013981654224177666,0.7541973863864274,0.0,0.0,0.0,14.71461602537397,32.879
1984-12-03,0.07401430544944805,0.06395106429548747,0.010063241153960553,0.9277316218251255,2.8400822154208427,0.0,3.016999816894532,13.960418638987544,32.77609670397576
1984-12-04,0.09449499898184897,0.08165480435580073,0.012840194626048235,1.0612592774052405,0.0,0.0,0.0,15.872769232583263,32.879
1984-12-05,0.08643675348448811,0.07465876218633409,0.011777991298154017,0.7815398020419032,0.030808677908662162,0.0,0.12899999618530267,14.811509955178023,32.78450500101815
1984-12-06,0.10411153463188086,0.08993244550236448,0.014179089129516376,0.6256623289169075,0.0,0.0,0.0,14.06077883104478,32.796259565810296
1984-12-07,0.11373180986476956,0.0982777966250263,0.015454013239743259,0.5279362552064246,0.0,0.0,0.0,13.435116502127874,32.69214803117841
1984-12-08,0.10604174605793223,0.09166623017331,0.014375515884622214,0.4646211744392638,0.0,0.0,0.0,12.907180246921449,32.57841622131365
1984-12-09,0.09113270587232464,0.07880437582188089,0.012328330050443773,0.41989380835353884,0.0,0.0,0.0,12.442559072482185,32.47237447525572
1984-12-10,0.10027807682398202,0.08674000730038102,0.013538069523601003,0.38569245325682283,0.0,0.0,0.0,12.022665264128644,32.381241769383394
1984-12-11,0.09375660025560387,0.08098240222589874,0.01277419802970514,0.45667057290166235,1.185207138080179,0.0,1.877000045776367,11.63697281087182,32.28096369255942
1984-12-12,0.07579697891966426,0.0654843017472535,0.010312677172410778,0.5754120771239649,0.013516937662166571,0.0,0.0559999942779541,12.36550937605034,32.879
1984-12-13,0.08586058970488415,0.07418164696260386,0.0116789427422803,0.4528407980391321,0.0,0.0,0.0,11.80361423658854,32.84568607769612
1984-12-14,0.08795584260187163,0.07601368884205645,0.01194215375981519,0.38066324942544383,0.0,0.0,0.0,11.350773438549407,32.759825487991236
1984-12-15,0.09832157685759067,0.08491439640583869,0.013407180451751998,0.3463430689680161,0.09609521846403261,0.0,0.36300001144409183,10.970110189123963,32.671869645389364
1984-12-16,0.06961822144773504,0.060148424449780205,0.009469796997954846,0.353135558433209,0.28383464769348615,0.0,0.3920000076293944,10.719862338619983,32.840452861511835
1984-12-17,0.07371007873054541,0.06368550802319124,0.010024570707354179,0.38231154885064134,0.2982899002886282,0.0,0.37199997901916504,10.650561427880259,32.879
1984-12-18,0.07137778957376663,0.061670410191734366,0.009707379382032262,0.3676142476430728,0.08762222568503464,0.0,0.15900001525878904,10.566539779318248,32.879
1984-12-19,0.07231393209007592,0.06248575155426093,0.009828180535814992,0.32029864907572947,0.0,0.0,0.0,10.286547757360209,32.879
1984-12-20,0.07417795838376606,0.06411189398151512,0.010066064402250942,0.2801815766471499,0.0,0.0,0.0,9.96624910828448,32.80668606790992
1984-12-21,0.07908581292289726,0.0683709620180754,0.01071485090482186,0.2541240084322205,0.0,0.0,0.0,9.686067531637333,32.73250810952616
1984-12-22,0.08740271508992217,0.07558170497031473,0.011821010119607442,0.23550475778839244,0.0,0.0,0.0,9.43194352320511,32.65342229660326
1984-12-23,0.08596002575818668,0.0743554610748791,0.011604564683307573,0.22099365114549513,0.0,0.0,0.0,9.196438765416717,32.56601958151334
1984-12-24,0.09817355455778458,0.08494582948341983,0.013227725074364734,0.20889802615613776,0.0,0.0,0.0,8.975445114271224,32.48005955575515
1984-12-25,0.08776195670434007,0.07596062265110365,0.011801334053236422,0.1983425318460765,0.0,0.0,0.0,8.766547088115082,32.38188600119737
1984-12-26,0.06914490057834559,0.05967713004607118,0.009467770532274402,0.19024635025296002,0.02427958758079103,0.0,0.17199997901916497,8.568204556269002,32.29412404449303
1984-12-27,0.08542691105761557,0.07364800193218632,0.011778909125429279,0.18530914903795728,0.0,0.0,0.0,8.402237793596834,32.37269953535306
1984-12-28,0.0863219071207382,0.07444127837057879,0.011880628750159418,0.17500067262592664,0.0,0.0,0.0,8.216928644558877,32.28727262429544
1984-12-29,0.08710853528325344,0.075141768168453,0.011966767114800436,0.1664024149332404,0.0,0.0,0.0,8.04192797193295,32.200950717174706
1984-12-30,0.08388602581611591,0.07228071608872738,0.011605309727388527,0.17144880901404674,0.11757568178412968,0.0,0.4529999732971191,7.875525556999711,32.11384218189146
1984-12-31,0.09931410032329363,0.08561925393149344,0.013694846391800197,0.17403847065634892,0.0,0.0,0.0,7.8216524297697925,32.365380447588336
